dump	config	loops	bigloops	contig	brokenRoutes	tapers	spikes	zigs	stairs	clips	drawMs	note
improvedschematics-map-DEN.json	base	0	0	0	0	0	5	-1	0	0	1008	
improvedschematics-map-DEN.json	capsuleFilter	0	0	0	0	0	5	-1	0	0	990	
improvedschematics-map-DEN.json	capsuleFilter_noDensity	0	0	0	0	0	5	-1	0	0	1097	
improvedschematics-map-DEN.json	expand1	0	0	0	0	0	5	-1	0	0	1043	
improvedschematics-map-DEN.json	growth1	0	0	0	0	0	11	-1	0	0	987	
improvedschematics-map-DEN.json	growth1_25	0	0	0	0	0	5	-1	0	0	1139	
improvedschematics-map-DEN.json	growth1_5	0	0	0	0	0	5	-1	0	0	1108	
improvedschematics-map-DEN.json	growth2	0	0	0	0	0	5	-1	0	0	1064	
improvedschematics-map-DEN.json	noBoth	0	0	0	0	0	11	-1	0	0	1004	
improvedschematics-map-DEN.json	noBoth_dropTinyOff	0	0	0	0	0	11	-1	0	0	1022	
improvedschematics-map-DEN.json	noBoth_expand1	0	0	0	0	0	11	-1	0	0	982	
improvedschematics-map-DEN.json	noBoth_growth1	0	0	0	0	0	11	-1	0	0	1052	
improvedschematics-map-DEN.json	noBoth_growth1_5	0	0	0	0	0	11	-1	0	0	1136	
improvedschematics-map-DEN.json	noContraction	0	0	0	0	0	11	-1	0	0	951	
improvedschematics-map-DEN.json	noContraction_growth1	0	0	0	0	0	11	-1	0	0	1082	
improvedschematics-map-DEN.json	noDensity	0	0	0	0	0	5	-1	0	0	1076	
improvedschematics-map-DEN.json	noWarp	1	0	0	0	0	7	-1	1	0	1548	
improvedschematics-map-DEN.json	warp25	0	0	0	0	0	6	-1	0	0	1038	
improvedschematics-map-DEN.json	warp50	0	0	0	0	0	5	-1	0	0	1179	
improvedschematics-map-DEN.json	warp75	0	0	0	0	0	11	-1	1	0	980	
improvedschematics-map-HOR.json	base	0	1	0	0	0	18	-1	0	0	48902	
improvedschematics-map-HOR.json	capF_growth_1	11	0	2	2	5	20	-1	4	16	83534	
improvedschematics-map-HOR.json	capF_growth_1_25	8	0	6	5	6	63	-1	0	6	40308	
improvedschematics-map-HOR.json	capF_growth_1_5	4	3	6	5	1	38	-1	4	7	58281	
improvedschematics-map-HOR.json	capF_growth_2	1	0	1	1	2	26	-1	0	7	50804	
improvedschematics-map-HOR.json	capsuleFilter	1	0	1	1	2	27	-1	0	0	51215	
improvedschematics-map-HOR.json	capsuleFilter_noDensity	1	0	1	1	2	27	-1	0	0	53460	
improvedschematics-map-HOR.json	expand1	0	1	0	0	0	18	-1	0	0	52228	
improvedschematics-map-HOR.json	growth1	11	0	2	2	5	20	-1	4	16	89912	
improvedschematics-map-HOR.json	growth1_25	3	2	5	5	0	39	-1	2	9	48978	
improvedschematics-map-HOR.json	growth1_5	3	0	5	4	0	29	-1	4	3	35249	
improvedschematics-map-HOR.json	growth2	2	0	1	1	0	23	-1	0	3	49624	
improvedschematics-map-HOR.json	growthF_1_1	6	1	5	5	6	53	-1	2	15	86118	
improvedschematics-map-HOR.json	growthF_1_15	10	1	4	4	2	60	-1	6	11	50873	
improvedschematics-map-HOR.json	growthF_1_2	3	1	2	2	1	54	-1	1	6	72568	
improvedschematics-map-HOR.json	growthF_1_3	4	4	4	4	12	40	-1	4	10	50191	
improvedschematics-map-HOR.json	growthF_1_4	3	2	6	5	6	66	-1	3	10	48398	
improvedschematics-map-HOR.json	growthF_1_75	4	1	2	2	0	42	-1	0	2	61091	
improvedschematics-map-HOR.json	growthF_2_25	2	0	0	0	2	22	-1	0	1	58724	
improvedschematics-map-HOR.json	noBoth	1	0	0	0	2	23	-1	0	0	49707	
improvedschematics-map-HOR.json	noBoth_dropTinyOff	1	0	1	1	2	32	-1	0	0	40710	
improvedschematics-map-HOR.json	noBoth_expand1	1	0	0	0	2	23	-1	0	0	68761	
improvedschematics-map-HOR.json	noBoth_growth1	11	0	2	2	5	20	-1	4	16	72297	
improvedschematics-map-HOR.json	noBoth_growth1_5	3	1	5	5	1	39	-1	0	8	66823	
improvedschematics-map-HOR.json	noBoth_growthF_1_1	7	0	4	3	9	39	-1	3	14	58426	
improvedschematics-map-HOR.json	noBoth_growthF_1_15	6	2	5	4	17	61	-1	0	12	86313	
improvedschematics-map-HOR.json	noBoth_growthF_1_2	10	1	3	3	1	54	-1	10	12	56860	
improvedschematics-map-HOR.json	noBoth_growthF_1_3	3	1	5	5	0	44	-1	6	9	51079	
